Fragmento de código
id_presupuesto,estado_presupuesto,total,fecha,nota_ubicacion,precio_ubicacion,precio_catering,precio_audiovisuales,precio_otros,nota_catering,nota_audiovisuales,nota_otros,observaciones,id_evento
1,Aprobado,48000,2026-08-01,mull,5000,15000,20000,8000,mull,mull,mull,mull,1
2,Pendiente,28000,2026-08-15,mull,3000,8000,15000,2000,mull,mull,mull,mull,2
3,Pendiente,12000,2026-09-01,mull,1000,4000,5000,2000,mull,mull,mull,mull,3
4,Aprobado,25000,2026-09-10,mull,2000,7000,10000,6000,mull,mull,mull,mull,4
5,Aprobado,9000,2026-09-15,mull,1000,3000,3000,2000,mull,mull,mull,mull,5
6,Pendiente,7000,2026-09-20,mull,500,2000,3000,1500,mull,mull,mull,mull,6
7,Aprobado,4000,2026-09-22,mull,500,1000,1500,1000,mull,mull,mull,mull,7
8,Pendiente,15000,2026-09-25,mull,1500,4000,6000,3500,mull,mull,mull,mull,8
9,Aprobado,20000,2026-09-28,mull,2000,6000,8000,4000,mull,mull,mull,mull,9
10,Aprobado,18000,2026-09-30,mull,1500,5000,7000,4500,mull,mull,mull,mull,10
11,Pendiente,16000,2026-10-01,mull,1500,4000,7000,3500,mull,mull,mull,mull,11
12,Aprobado,11000,2026-10-02,mull,1000,3000,4000,3000,mull,mull,mull,mull,12
13,Pendiente,25000,2026-10-05,mull,2000,8000,10000,5000,mull,mull,mull,mull,13
14,Aprobado,5000,2026-10-06,mull,500,1500,2000,1000,mull,mull,mull,mull,14
15,Aprobado,35000,2026-10-07,mull,3000,10000,15000,7000,mull,mull,mull,mull,15
16,Pendiente,12000,2026-10-08,mull,1000,3000,5000,3000,mull,mull,mull,mull,16
17,Aprobado,8000,2026-10-09,mull,800,2000,3000,2200,mull,mull,mull,mull,17
18,Pendiente,10000,2026-10-10,mull,1000,2500,4000,2500,mull,mull,mull,mull,18
19,Aprobado,22000,2026-10-12,mull,2000,6000,9000,5000,mull,mull,mull,mull,19
20,Pendiente,9000,2026-10-15,mull,1000,2000,4000,2000,mull,mull,mull,mull,20
21,Aprobado,28000,2026-10-18,mull,2500,8000,12000,5500,mull,mull,mull,mull,21
22,Pendiente,14000,2026-10-20,mull,1500,4000,6000,2500,mull,mull,mull,mull,22
23,Aprobado,13000,2026-10-22,mull,1200,3500,5000,3300,mull,mull,mull,mull,23
24,Aprobado,45000,2026-10-25,mull,4000,12000,20000,9000,mull,mull,mull,mull,24
25,Pendiente,7000,2026-10-26,mull,700,2000,3000,1300,mull,mull,mull,mull,25
26,Aprobado,19000,2026-10-28,mull,1500,5000,8000,4500,mull,mull,mull,mull,26
27,Pendiente,9500,2026-10-30,mull,1000,2500,4000,2000,mull,mull,mull,mull,27
28,Aprobado,17000,2026-11-01,mull,1500,5000,7000,3500,mull,mull,mull,mull,28
29,Pendiente,11000,2026-11-02,mull,1000,3000,4500,2500,mull,mull,mull,mull,29
30,Aprobado,4500,2026-11-05,mull,500,1000,2000,1000,mull,mull,mull,mull,30
31,Aprobado,26000,2026-11-08,mull,2500,7000,10000,6500,mull,mull,mull,mull,31
32,Pendiente,8500,2026-11-10,mull,800,2500,3500,1700,mull,mull,mull,mull,32
33,Aprobado,6500,2026-11-12,mull,600,2000,2500,1400,mull,mull,mull,mull,33
34,Pendiente,5500,2026-11-15,mull,500,1500,2500,1000,mull,mull,mull,mull,34
35,Aprobado,14500,2026-11-18,mull,1500,4000,6000,3000,mull,mull,mull,mull,35
36,Pendiente,11500,2026-11-20,mull,1000,3000,5000,2500,mull,mull,mull,mull,36
37,Aprobado,8500,2026-11-22,mull,800,2500,3500,1700,mull,mull,mull,mull,37
38,Pendiente,6500,2026-11-25,mull,600,2000,2500,1400,mull,mull,mull,mull,38
39,Aprobado,4000,2026-11-28,mull,400,1200,1600,800,mull,mull,mull,mull,39
40,Pendiente,18000,2026-12-01,mull,1500,5000,8000,3500,mull,mull,mull,mull,40
